Generation 	 Training Error 	 Unseen Error 	 Size 	 Depth 
0	57,170546193031285	62,41039570055618	7	2
1	45,860873248998544	50,72910965725225	7	2
2	19,72277006174157	19,261113905096206	13	4
3	19,651758832006834	20,907678805348613	13	4
4	17,113030472263272	17,448488550118974	13	4
5	7,325947437253537	6,159888508717744	9	3
6	7,325947437253537	6,159888508717744	9	3
7	7,316569020128662	6,187597492740316	11	4
8	7,316569020128662	6,187597492740316	11	4
9	7,316569020128662	6,187597492740316	11	4
10	7,316569020128662	6,187597492740316	11	4
11	7,316569020128662	6,187597492740316	11	4
12	7,316569020128662	6,187597492740316	11	4
13	7,316569020128662	6,187597492740316	11	4
14	7,316569020128662	6,187597492740316	11	4
15	7,316569020128662	6,187597492740316	11	4
16	7,316569020128662	6,187597492740316	11	4
17	7,316569020128662	6,187597492740316	11	4
18	7,316569020128662	6,187597492740316	11	4
19	7,316569020128662	6,187597492740316	11	4
20	7,316569020128662	6,187597492740316	11	4
21	7,316569020128662	6,187597492740316	11	4
22	7,316569020128662	6,187597492740316	13	4
23	7,316569020128662	6,187597492740316	11	4
24	7,316569020128662	6,187597492740316	11	4
25	7,316569020128662	6,187597492740316	11	4
26	7,316569020128662	6,187597492740316	11	4
27	7,316569020128662	6,187597492740316	11	4
28	7,316569020128662	6,187597492740316	11	4
29	7,316569020128662	6,187597492740316	11	4
30	7,316569020128662	6,187597492740316	11	4
31	7,316569020128662	6,187597492740316	11	4
32	7,316569020128662	6,187597492740316	11	4
33	7,316569020128662	6,187597492740316	11	4
34	7,316569020128662	6,187597492740316	11	4
35	7,316569020128662	6,187597492740316	11	4
36	7,316569020128662	6,187597492740316	11	4
37	7,316569020128662	6,187597492740316	11	4
38	7,316569020128662	6,187597492740316	11	4
39	7,316569020128662	6,187597492740316	11	4
40	7,316569020128662	6,187597492740316	11	3
41	7,316569020128662	6,187597492740316	11	5
42	7,316569020128662	6,187597492740316	11	4
43	7,316569020128662	6,187597492740316	11	4
44	7,316569020128662	6,187597492740316	11	4
45	7,316569020128662	6,187597492740316	11	4
46	7,316569020128662	6,187597492740316	11	4
47	7,316569020128662	6,187597492740316	11	4
48	7,316569020128662	6,187597492740316	11	4
49	7,316569020128662	6,187597492740316	11	4
50	7,316569020128662	6,187597492740316	11	4
51	7,316569020128662	6,187597492740316	11	4
52	7,316569020128662	6,187597492740316	11	4
53	7,316569020128662	6,187597492740316	11	4
54	7,316569020128662	6,187597492740316	11	4
55	7,316569020128662	6,187597492740316	11	4
56	7,316569020128662	6,187597492740316	11	4
57	7,316569020128662	6,187597492740316	11	4
58	7,316569020128662	6,187597492740316	11	4
59	7,316569020128662	6,187597492740316	11	4
60	7,316569020128662	6,187597492740316	11	4
61	7,316569020128662	6,187597492740316	11	4
62	7,316569020128662	6,187597492740316	11	4
63	7,316569020128662	6,187597492740316	11	4
64	7,316569020128662	6,187597492740316	11	4
65	7,316569020128662	6,187597492740316	11	4
66	7,316569020128662	6,187597492740316	11	4
67	7,316569020128662	6,187597492740316	11	4
68	7,316569020128662	6,187597492740316	11	4
69	7,316569020128662	6,187597492740316	11	4
70	7,316569020128662	6,187597492740316	11	4
71	7,316569020128662	6,187597492740316	11	4
72	7,316569020128662	6,187597492740316	11	4
73	7,316569020128662	6,187597492740316	11	4
74	7,316569020128662	6,187597492740316	11	3
75	7,316569020128662	6,187597492740316	11	4
76	7,316569020128662	6,187597492740316	11	4
77	7,316569020128662	6,187597492740316	11	4
78	7,316569020128662	6,187597492740316	11	5
79	7,316569020128662	6,187597492740316	11	4
80	7,316569020128662	6,187597492740316	11	5
81	7,316569020128662	6,187597492740316	11	3
82	7,316569020128662	6,187597492740316	11	4
83	7,316569020128662	6,187597492740316	11	4
84	7,316569020128662	6,187597492740316	11	4
85	7,316569020128662	6,187597492740316	11	4
86	7,316569020128662	6,187597492740316	11	4
87	7,316569020128662	6,187597492740316	11	4
88	7,316569020128662	6,187597492740316	11	4
89	7,316569020128662	6,187597492740316	11	4
90	7,316569020128662	6,187597492740316	11	5
91	7,316569020128662	6,187597492740316	11	4
92	7,316569020128662	6,187597492740316	11	4
93	7,316569020128662	6,187597492740316	11	4
94	7,316569020128662	6,187597492740316	11	4
95	7,316569020128662	6,187597492740316	11	5
96	7,316569020128662	6,187597492740316	11	5
97	7,316569020128662	6,187597492740316	11	5
98	7,316569020128662	6,187597492740316	11	5
99	7,316569020128662	6,187597492740316	11	4
100	7,316569020128662	6,187597492740316	11	4
101	7,316569020128662	6,187597492740316	11	4
102	7,316569020128662	6,187597492740316	11	4
103	7,316569020128662	6,187597492740316	11	4
104	7,316569020128662	6,187597492740316	11	4
105	7,316569020128662	6,187597492740316	11	5
106	7,316569020128662	6,187597492740316	11	5
107	7,316569020128662	6,187597492740316	11	4
108	7,316569020128662	6,187597492740316	11	4
109	7,316569020128662	6,187597492740316	11	5
110	7,316569020128662	6,187597492740316	11	5
111	7,316569020128662	6,187597492740316	11	5
112	7,316569020128662	6,187597492740316	11	5
113	7,316569020128662	6,187597492740316	11	4
114	7,316569020128662	6,187597492740316	11	5
115	7,316569020128662	6,187597492740316	11	4
116	7,316569020128662	6,187597492740316	11	4
117	7,316569020128662	6,187597492740316	11	4
118	7,316569020128662	6,187597492740316	11	4
119	7,316569020128662	6,187597492740316	11	5
120	7,316569020128662	6,187597492740316	11	4
121	7,316569020128662	6,187597492740316	11	4
122	7,316569020128662	6,187597492740316	11	4
123	7,316569020128662	6,187597492740316	11	5
124	7,316569020128662	6,187597492740316	11	4
125	7,316569020128662	6,187597492740316	11	4
126	7,316569020128662	6,187597492740316	11	4
127	7,316569020128662	6,187597492740316	11	4
128	7,316569020128662	6,187597492740316	11	4
129	7,316569020128662	6,187597492740316	11	4
130	7,316569020128662	6,187597492740316	11	4
131	7,316569020128662	6,187597492740316	11	3
132	7,316569020128662	6,187597492740316	11	4
133	7,316569020128662	6,187597492740316	11	3
134	7,316569020128662	6,187597492740316	11	4
135	7,316569020128662	6,187597492740316	11	4
136	7,316569020128662	6,187597492740316	11	4
137	7,316569020128662	6,187597492740316	11	4
138	7,316569020128662	6,187597492740316	11	4
139	7,316569020128662	6,187597492740316	11	4
140	7,316569020128662	6,187597492740316	11	4
141	7,316569020128662	6,187597492740316	11	4
142	7,316569020128662	6,187597492740316	11	4
143	7,316569020128662	6,187597492740316	11	4
144	7,316569020128662	6,187597492740316	11	4
145	7,316569020128662	6,187597492740316	11	4
146	7,316569020128662	6,187597492740316	11	4
147	7,316569020128662	6,187597492740316	11	4
148	7,316569020128662	6,187597492740316	11	4
149	7,316569020128662	6,187597492740316	11	4
150	7,316569020128662	6,187597492740316	11	4
151	7,316569020128662	6,187597492740316	11	4
152	7,316569020128662	6,187597492740316	11	4
153	7,316569020128662	6,187597492740316	11	4
154	7,316569020128662	6,187597492740316	11	4
